S.no,District,Petrol Pumps,Dhabas/Hotels,Workshops
1,Dakshin Dinajpur,"Hemraj Ramgopal, Hili More, Balurghat, 9434055359","Patha Sathi, Patiram Thinkona More, Balurghat","PK Automobiles, Khanpur, 9733341570"
2,Dakshin Dinajpur,"Reliance Pump, Bagicha Para, 8670465916","Nirmala Hotel, Trimohini, Hili, 8609937549","Kundu Engineering Works, Hossenpur, Balurghat, 9851786284"
3,Dakshin Dinajpur,"Dakshin Dinajpur Fuels, Patiram, Balurghat, 9647561502","Deep Hotel, Baul, Bolla, 9933481097","Kar Automobiles, Raghunathpur, 89063134143"
4,Dakshin Dinajpur,,,"Laxmi Engineering Works, Hossenpur, 9735012385"
