S.no,District,Petrol Pumps,Dhabas/Hotels,Workshops
1,Kalimpong,"Ratiram Banshilal Petrol Pump, 10th mile, Kalimpong, Ph-no 9832047800","Hotel Priyanka, Gayel Kholan, NH-10, Kalimpong, Ph-no 8116592937","Mani Garage, Rely road, Kalimpong, Ph-no 7679350707 (Tika ram)"
2,Kalimpong,"Tashi Service Station, 8th mile, Kalimpong, Ph-no 9434106749","Hotel Maha Magg, Lohapul, NH-10, Kalimpong, Ph-no 9932343710","Mukul Garage, Testa Bazar, NH-10, Kalimpong, Ph-no 9800487893"
3,Kalimpong,"Biswa Kiran Fuel Pump, 6th mile, Kalimpong, Ph-no 7029027467","Hotel Rajendra Gurung, Tarkhola, NH-10, Kalimpong, Ph-no 7318723799","Yogesh Fitter, 4th mile, Kalimpong, Ph-no 6294384586"
4,Kalimpong,"Suntali Fuel Pump, Lohapul, NH-10, Kalimpong, Ph-no 9933922837","Shayog Dhaba, Garubathan, Kalimpong, Ph-no 7719267214",
